"TAX","Revenue category","GOV","Level of government","YEA","Year","Value","Flag Codes","Flags"
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","1996","1996",1.677,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","1997","1997",1.748,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","1998","1998",2.623,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","1999","1999",2.415,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2000","2000",2.994,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2001","2001",3.045,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2002","2002",4.358,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2003","2003",2.049,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2004","2004",5.752,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2005","2005",6.128,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2006","2006",6.038,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2007","2007",6.358,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2008","2008",3.566,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2009","2009",3.948,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2010","2010",4.331,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2011","2011",5.466,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2012","2012",6.579,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2013","2013",8.149,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2014","2014",8.518,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2015","2015",9.155,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2016","2016",11.461,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2017","2017",11.488,,
"2310","2310 On a payroll basis of self/non-employed SSC","SOCSEC","Social Security Funds","2018","2018",12.784,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","1996","1996",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","1997","1997",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","1998","1998",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","1999","1999",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2000","2000",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2001","2001",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2002","2002",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2003","2003",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2004","2004",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2005","2005",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2006","2006",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2007","2007",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2008","2008",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2009","2009",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2010","2010",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2011","2011",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2012","2012",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2013","2013",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2014","2014",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2015","2015",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2016","2016",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2017","2017",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","NES","Total","2018","2018",0,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1996","1996",6137.112,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1997","1997",9892.593,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1998","1998",14044.243,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","1999","1999",11059.428,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2000","2000",11321.53,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2001","2001",16025.163,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2002","2002",19295.357,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2003","2003",18976.155,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2004","2004",16754.557,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2005","2005",25323.566,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2006","2006",28921.261,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2007","2007",37952.559,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2008","2008",59624.36,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2009","2009",53623.438,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2010","2010",57529.759,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2011","2011",71261.529,,
